,Symbol,Date,Walrasian Price
508,MRT,910128.0,2.375
509,AMN,910129.0,inf
510,RDA,901101.0,24.875
511,HAT,910130.0,inf
512,PH ,901211.0,23.375
513,IPT,901127.0,19.5
514,OCQ,901126.0,9.375
515,FPL,910130.0,28.75
516,PCO,901128.0,18.375
517,AYD,910124.0,14.25
518,Y  ,901102.0,74.5
519,NNP,910102.0,inf
520,ACS,910114.0,16.375
521,CMH,901106.0,13.0
522,KWD,910108.0,inf
523,ADU,901123.0,inf
524,EKO,901113.0,3.0
525,UWR,901108.0,11.125
526,PH ,910108.0,22.875
527,WIN,901108.0,30.0
528,POM,910102.0,20.625
529,AYD,910118.0,inf
530,ATE,901206.0,34.625
531,VCC,910115.0,3.0
532,HTR,901228.0,10.125
533,PIR,901205.0,5.25
534,TXI,901217.0,15.5
535,ICM,901102.0,3.625
536,T  ,901127.0,32.5
537,SLB,910118.0,53.625
538,CUC,901203.0,18.0
539,HTR,910102.0,10.25
540,REC,901231.0,5.0
541,W  ,901106.0,inf
542,PIM,910111.0,6.875
543,XON,910104.0,51.25
544,ACS,910124.0,16.5
545,SLT,910102.0,inf
546,MO ,901116.0,48.5
547,SJI,901105.0,18.75
548,GRH,901204.0,2.625
549,BMC,901129.0,4.125
550,MDP,901101.0,inf
551,CYR,901129.0,28.875
552,NSP,910110.0,32.75
553,SAH,901217.0,inf
554,UWR,910125.0,12.375
555,AC ,901120.0,14.125
556,FBO,901123.0,16.5
557,UEP,910115.0,28.625
558,OEH,910115.0,3.0
559,UAM,901119.0,14.125
560,AMD,901221.0,5.25
561,CMH,901204.0,13.875
562,PIR,901115.0,4.0
563,WAE,901123.0,0.25
564,ADU,910111.0,0.15625
565,PLP,901130.0,inf
566,WDG,910103.0,0.625
567,FFB,910110.0,inf
568,HF ,901102.0,26.125
569,RPS,901227.0,inf
570,DBD,901115.0,34.5
571,CLE,901113.0,12.125
572,GBE,901207.0,1.375
573,USH,901212.0,31.0
574,T  ,910110.0,29.375
575,NT ,901210.0,28.5
576,MCN,901231.0,21.5
577,MX ,910123.0,19.5
578,CLE,910107.0,10.25
579,PH ,910122.0,24.0
580,TEK,901121.0,16.875
581,HAN,901212.0,18.875
582,POM,910117.0,20.0
583,KR ,901218.0,13.5
584,UTD,901210.0,16.375
585,IBM,901114.0,113.5
586,CPC,910121.0,76.375
587,SPF,901231.0,5.75
588,MCN,901102.0,21.25
